100 1602
0 7 1
0 12 6
0 15 11
0 36 5
0 52 16
0 53 18
0 59 6
0 64 18
0 82 17
0 85 2
0 86 9
0 92 20
0 95 9
1 2 19
1 5 17
1 7 18
1 11 19
1 15 20
1 16 7
1 19 11
1 28 17
1 36 19
1 39 4
1 47 15
1 59 13
1 68 16
1 71 6
1 84 16
1 86 14
1 87 13
1 95 1
1 97 3
2 4 14
2 21 13
2 22 17
2 25 7
2 27 6
2 28 10
2 31 9
2 40 4
2 79 15
2 82 14
2 87 16
2 88 5
2 90 10
2 99 18
3 2 6
3 24 19
3 57 8
3 65 13
3 70 20
3 71 5
3 72 18
3 73 12
3 75 17
3 83 14
3 84 11
3 92 3
3 96 2
4 9 6
4 10 16
4 12 7
4 13 9
4 22 17
4 25 6
4 26 5
4 29 14
4 34 17
4 40 7
4 41 18
4 65 15
4 71 3
4 76 10
4 81 2
4 91 14
4 93 19
4 97 3
5 9 10
5 13 14
5 15 12
5 19 3
5 21 1
5 25 20
5 52 9
5 95 1
5 98 12
6 3 19
6 14 14
6 16 1
6 31 18
6 40 3
6 48 19
6 49 17
6 51 12
6 52 3
6 55 10
6 65 9
6 76 13
6 87 11
6 94 4
6 96 1
7 2 11
7 28 17
7 38 15
7 52 8
7 55 19
7 58 19
7 62 1
7 68 20
7 71 13
7 80 18
7 83 6
7 84 1
7 93 3
7 96 16
8 1 2
8 4 11
8 26 7
8 30 6
8 32 14
8 33 14
8 36 6
8 40 11
8 44 2
8 47 16
8 58 7
8 65 4
8 77 18
8 78 12
8 85 7
8 99 2
9 11 18
9 15 2
9 16 5
9 18 11
9 27 15
9 52 2
9 59 16
9 62 7
9 65 13
9 76 2
9 86 13
9 88 17
9 94 4
9 97 10
10 2 7
10 7 6
10 9 19
10 12 11
10 19 14
10 22 14
10 23 16
10 45 10
10 61 17
10 70 16
10 77 5
10 82 12
10 87 12
10 88 1
10 90 17
10 96 4
10 98 20
11 13 4
11 14 2
11 15 14
11 19 6
11 26 10
11 27 11
11 33 17
11 34 14
11 41 4
11 44 1
11 53 3
11 65 14
11 71 19
11 73 11
11 82 17
11 85 10
11 87 11
11 89 7
11 91 4
11 93 11
12 5 1
12 14 5
12 16 6
12 23 19
12 29 13
12 46 20
12 52 16
12 54 8
12 59 18
12 64 4
12 68 16
12 74 13
12 85 5
12 91 9
13 2 13
13 12 13
13 45 11
13 52 8
13 59 20
13 75 20
13 76 15
13 78 8
13 80 11
13 83 14
13 88 10
13 94 15
13 95 6
13 97 15
14 5 18
14 8 8
14 9 5
14 40 6
14 43 4
14 45 9
14 65 3
14 74 8
14 80 14
14 85 16
14 98 9
15 4 19
15 8 8
15 12 3
15 18 12
15 19 20
15 21 9
15 27 5
15 28 5
15 47 6
15 51 17
15 74 17
15 78 6
15 84 8
15 88 12
15 89 1
15 96 11
16 3 6
16 17 12
16 49 6
16 52 1
16 59 6
16 65 5
16 85 17
