100 977
0 5 7
0 10 20
0 31 19
0 32 18
0 34 13
0 52 3
0 63 9
0 75 13
0 83 5
0 89 5
1 3 6
1 7 15
1 12 14
1 13 0
1 28 0
1 32 13
1 33 0
1 46 0
1 63 14
1 65 0
1 68 5
1 71 0
1 77 4
1 84 18
1 89 0
1 93 9
2 5 0
2 7 0
2 10 5
2 22 8
2 26 4
2 28 0
2 33 0
2 38 16
2 39 0
2 41 3
2 52 17
2 53 10
2 57 14
2 62 0
2 76 0
2 77 0
2 81 5
2 84 0
2 90 0
2 96 12
3 1 0
3 4 0
3 6 0
3 8 8
3 10 13
3 22 20
3 26 0
3 27 13
3 29 0
3 35 0
3 36 17
3 38 0
3 51 20
3 52 0
3 53 7
3 56 17
3 58 0
3 66 0
3 69 12
3 77 14
3 78 0
3 80 0
3 85 4
3 91 16
3 96 13
3 97 20
4 3 18
4 7 0
4 15 17
4 16 5
4 19 18
4 23 0
4 27 0
4 28 0
4 33 16
4 48 0
4 49 3
4 53 0
4 56 0
4 57 0
4 61 0
4 69 16
4 71 0
4 74 8
4 82 8
4 86 2
4 87 11
4 92 11
4 96 0
5 0 0
5 2 5
5 7 0
5 23 14
5 28 0
5 35 10
5 39 12
5 50 0
5 51 20
5 64 0
5 66 8
5 67 10
5 68 18
5 69 18
5 78 3
5 97 0
6 3 14
6 8 10
6 10 18
6 11 12
6 12 0
6 14 6
6 24 16
6 26 0
6 28 0
6 36 0
6 38 0
6 45 0
6 54 0
6 59 0
6 61 0
6 65 0
6 78 5
6 81 12
6 86 0
6 90 20
6 97 0
6 98 13
6 99 8
7 1 0
7 2 8
7 4 6
7 5 2
7 10 0
7 11 2
7 31 11
7 32 0
7 38 16
7 46 0
7 48 10
7 53 15
7 57 11
7 59 2
7 60 0
7 73 13
7 74 0
7 76 0
7 81 0
7 82 0
7 87 0
7 88 0
7 90 0
7 92 4
8 3 0
8 6 0
8 17 0
8 18 0
8 20 2
8 24 18
8 25 2
8 27 1
8 32 2
8 39 0
8 43 0
8 46 0
8 47 0
8 49 0
8 61 17
8 63 12
8 73 8
8 75 0
8 80 0
8 89 5
8 95 4
9 11 0
9 23 0
9 29 15
9 36 7
9 42 20
9 53 3
9 59 0
9 66 0
9 68 20
9 70 5
9 71 0
9 81 0
10 0 0
10 2 0
10 3 0
10 6 0
10 7 15
10 17 13
10 26 18
10 28 16
10 32 14
10 42 0
10 46 3
10 59 0
10 61 15
10 79 0
10 81 11
10 87 0
10 90 15
10 94 0
10 99 17
11 6 0
11 7 0
11 9 1
11 15 0
11 17 0
11 33 1
11 42 18
11 53 4
11 69 1
11 74 14
11 83 12
11 86 0
11 94 0
11 97 14
12 1 0
12 6 8
12 17 20
12 21 0
12 23 4
12 25 4
12 27 17
12 34 16
12 39 11
12 40 2
12 43 0
12 45 0
12 52 0
12 62 0
12 65 0
12 66 0
12 69 17
12 73 2
12 77 20
12 85 13
12 86 0
12 90 0
12 93 0
12 96 4
12 98 0
13 1 14
13 20 16
13 30 19
13 32 15
13 34 12
13 35 0
13 47 0
13 51 13
13 65 12
13 73 0
13 75 0
13 82 0
13 92 0
13 93 20
13 98 19
14 6 0
14 16 15
14 35 0
14 36 2
14 42 13
14 45 17
14 47 0
14 50 0
14 55 0
14 60 0
14 62 6
14 68 18
14 71 5
14 75 0
14 82 0
14 83 2
14 93 0
15 4 0
15 11 8
15 18 0
15 26 0
15 27 0
15 28 14
15 30 6
15 38 18
15 50 4
15 52 12
15 55 16
15 56 3
15 62 9
15 63 12
15 77 0
15 80 0
15 86 2
15 89 0
16 4 0
16 14 0
16 20 0
16 25 0
16 27 7
16 34 2
16 35 19
16 36 20
16 37 0
16 42 0
16 48 10
16 52 0
16 69 0
16 71 0
16 74 0
16 78 1
16 79 19
16 85 0
16 95 6
16 98 1
16 99 5
17 8 8
17 10 0
17 11 10
17 12 0
17 22 10
17 24 0
17 25 0
17 27 15
17 28 18
17 31 14
17 33 15
17 34 0
