100 821
0 5 11
0 27 20
0 31 12
0 35 10
0 36 4
0 46 4
0 97 15
1 7 0
1 9 3
1 15 9
1 16 16
1 35 16
1 39 13
1 47 0
1 49 3
1 53 0
1 61 17
1 72 0
1 73 0
1 74 4
1 79 19
1 89 20
2 3 0
2 8 0
2 11 0
2 21 0
2 29 19
2 38 15
2 40 0
2 41 0
2 43 11
2 51 0
2 55 0
2 63 0
2 65 12
2 67 0
2 68 0
2 70 0
2 74 8
2 79 0
2 82 16
2 86 0
3 2 12
3 4 0
3 13 0
3 26 20
3 32 0
3 34 12
3 39 8
3 45 3
3 51 0
3 52 0
3 58 0
3 65 16
3 68 0
3 71 13
3 73 0
3 77 5
3 78 7
3 79 1
3 84 0
4 3 18
4 6 0
4 15 0
4 25 0
4 30 0
4 31 12
4 32 11
4 42 9
4 49 7
4 50 20
4 56 0
4 64 0
4 72 0
4 78 9
4 84 0
4 88 0
4 89 0
5 0 0
5 8 0
5 24 4
5 26 0
5 37 0
5 39 14
5 44 0
5 55 0
5 58 0
5 59 14
5 62 0
5 69 9
5 70 7
5 84 16
5 91 19
5 92 8
6 4 1
6 9 0
6 25 1
6 27 0
6 32 0
6 36 13
6 42 6
6 50 1
6 63 10
6 71 15
6 76 18
6 84 10
6 88 0
7 1 9
7 12 0
7 22 6
7 31 0
7 34 3
7 46 16
7 50 7
7 54 16
7 58 17
7 67 0
7 71 11
7 73 0
7 79 15
7 80 13
7 87 0
7 93 9
7 95 0
8 2 20
8 5 5
8 12 0
8 14 0
8 18 8
8 19 8
8 25 0
8 32 18
8 35 0
8 36 14
8 41 3
8 60 0
8 61 3
8 79 0
8 85 0
8 90 17
8 91 15
8 95 7
9 1 0
9 6 13
9 20 18
9 21 18
9 23 0
9 25 8
9 27 14
9 28 15
9 32 0
9 42 0
9 44 0
9 47 0
9 53 2
9 72 0
9 81 0
10 13 0
10 21 0
10 24 19
10 25 0
10 31 0
10 33 0
10 40 12
10 44 0
10 46 1
10 50 16
10 56 2
10 64 15
10 65 4
10 66 0
10 69 0
10 75 20
10 77 0
10 81 4
10 85 0
10 86 19
10 92 0
10 94 0
10 99 1
11 2 3
11 15 19
11 20 3
11 28 16
11 37 0
11 39 0
11 41 0
11 47 0
11 50 0
11 53 8
11 62 0
11 63 8
11 66 0
11 70 0
11 75 0
11 80 0
11 83 0
11 99 13
12 7 20
12 8 6
12 16 0
12 34 0
12 35 0
12 41 0
12 43 3
12 52 0
12 66 18
12 81 12
12 83 0
12 91 4
12 93 0
13 3 16
13 10 4
13 15 19
13 16 0
13 17 0
13 19 1
13 31 17
13 34 8
13 42 6
13 50 0
13 57 9
13 59 1
13 60 0
13 72 2
13 80 0
13 81 3
13 90 15
13 93 0
13 97 0
14 8 12
14 17 0
14 25 9
14 29 12
14 32 0
14 33 0
14 34 0
14 43 0
14 50 10
14 55 0
14 76 0
14 77 0
14 84 9
14 90 0
14 91 16
14 96 14
15 1 0
15 4 10
15 11 0
15 13 0
15 22 18
15 27 0
15 40 0
15 42 14
15 46 0
15 47 0
15 60 0
15 63 14
15 87 9
15 92 0
15 93 0
16 1 0
16 12 11
16 13 11
16 27 20
16 28 0
16 32 13
16 35 0
16 38 0
16 40 9
16 42 0
16 49 18
16 58 14
16 62 12
16 77 3
16 91 15
16 93 2
16 94 14
16 95 0
16 97 0
17 13 7
17 14 3
17 20 0
17 36 0
17 42 0
17 44 0
17 53 6
17 59 20
17 60 1
17 62 0
17 64 8
17 80 0
17 83 0
17 87 7
17 90 11
17 91 3
17 95 6
18 8 0
18 20 0
18 31 0
18 34 19
18 35 0
18 37 18
18 41 0
18 43 0
18 53 7
18 65 6
18 69 0
18 72 16
18 82 18
18 83 19
18 92 11
18 93 0
18 95 0
18 97 0
19 8 0
19 13 0
19 20 2
19 31 19
19 35 0
19 40 0
19 43 3
19 56 5
19 59 9
19 65 19
19 70 0
19 72 0
19 76 9
19 80 6
19 85 0
19 89 19
19 94 0
19 98 0
20 9 0
20 11 0
20 17 11
20 18 16
20 19 0
20 31 0
20 36 17
20 46 2
20 50 12
20 51 0
20 56 11
20 57 8
20 58 0
20 64 1
20 85 0
20 86 0
20 88 0
20 93 12
20 94 0
20 95 20
21 2 4
21 9 0
21 10 5
21 27 0
21 29 0
21 35 0
21 36 0
21 52 1
21 61 0
21 67 11
21 75 0
21 79 0
21 88 0
21 95 0
22 7 0
22 15 0
22 25 0
22 31 0
22 38 0
22 47 20
22 57 0
22 58 7
22 62 0
22 67 11
22 81 0
22 87 16
22 90 0
23 9 20
23 24 0
23 36 17
23 38 11
23 39 0
23 50 0
23 52 10
23 63 0
23 70 12
23 76 0
23 77 10
23 80 12
23 86 17
23 90 0
23 99 6
24 5 0
24 10 0
24 23 10
24 25 8
24 27 9
24 31 0
24 38 0
24 40 13
24 43 0
24 47 0
24 65 11
24 70 0
24 75 0
24 92 0
24 94 0
24 95 7
24 96 18
24 98 8
25 4 6
25 6 0
25 8 15
25 9 0
25 10 4
25 14 0
25 22 14
25 24 0
25 27 19
25 33 18
25 42 3
25 46 20
25 51 11
25 52 4
25 54 0
25 58 20
25 59 0
25 72 8
25 77 15
25 79 0
25 83 0
25 84 4
25 85 0
25 93 0
26 3 0
26 5 4
26 37 0
26 41 0
26 45 6
26 57 4
26 60 0
26 62 0
26 63 12
26 67 0
26 70 0
26 85 8
26 91 0
26 93 5
26 94 5
27 0 0
27 6 10
27 9 0
27 15 16
27 16 0
27 21 20
27 24 0
27 25 0
27 29 11
27 38 0
27 43 11
27 44 13
27 53 0
27 81 7
27 85 0
27 96 2
28 9 0
28 11 0
28 16 7
28 45 5
28 57 10
28 59 2
28 63 8
28 64 0
28 66 8
28 71 0
28 75 15
28 78 16
28 81 9
28 87 12
28 91 8
28 99 18
29 2 0
29 14 0
29 21 11
29 27 0
29 30 9
29 38 20
29 43 20
29 48 0
29 50 7
29 51 0
29 62 0
29 79 3
29 85 16
29 91 11
29 92 4
29 96 18
30 4 6
30 29 0
30 35 2
30 37 0
30 40 0
30 47 2
30 50 17
30 57 2
30 61 0
30 65 0
30 66 8
30 82 8
30 85 0
30 91 0
31 0 0
31 4 0
31 7 12
31 10 7
31 13 0
31 18 14
31 19 0
31 20 7
31 22 16
31 24 12
31 43 6
31 50 0
31 55 0
31 60 0
31 64 18
31 68 0
31 74 0
31 75 0
31 79 12
31 88 17
31 93 0
32 3 7
32 4 0
32 6 14
32 8 0
32 9 7
32 14 14
32 16 0
32 34 0
32 55 0
32 58 11
32 59 0
32 69 0
32 78 0
32 81 17
32 89 7
33 10 7
33 14 8
33 25 0
33 42 8
33 54 0
33 60 14
33 64 0
33 69 0
33 71 0
33 73 0
33 78 0
33 93 0
34 3 0
34 7 0
34 12 5
34 13 0
34 14 11
34 18 0
34 32 4
34 36 0
34 55 8
34 61 0
34 63 14
34 73 0
34 81 4
34 82 0
34 85 0
34 90 20
34 98 15
35 0 0
35 1 0
35 8 20
35 12 3
35 16 20
35 18 8
35 19 16
35 21 6
35 30 0
35 37 8
35 39 0
35 43 9
35 48 17
35 50 14
35 72 0
35 81 15
35 83 16
35 92 0
36 0 0
36 6 0
36 8 0
36 17 5
36 20 0
36 21 2
36 23 0
36 34 3
36 54 0
36 57 4
36 65 6
36 68 0
36 70 1
36 72 0
36 80 0
36 81 14
36 87 0
36 90 7
36 96 0
37 5 12
37 11 15
37 18 0
37 26 6
37 30 3
37 35 0
37 39 0
37 40 7
37 44 7
37 48 0
37 49 16
37 57 17
37 67 0
37 69 0
37 88 16
37 93 0
38 2 0
38 16 7
38 22 6
38 23 0
38 24 5
38 27 11
38 29 0
38 51 0
38 53 0
38 54 8
38 58 1
38 69 16
38 74 0
38 87 10
38 97 16
39 1 0
39 3 0
39 5 0
39 11 6
39 23 5
39 35 14
39 37 11
39 56 18
