100 4950
77 7 24
92 58 5
89 11 15
5 17 40
48 7 40
35 23 59
35 40 62
22 18 87
63 76 99
49 79 23
75 56 83
98 0 41
2 89 52
16 46 70
55 94 77
95 29 52
5 16 92
67 38 62
5 1 90
60 76 77
0 78 18
4 46 64
25 53 10
53 0 39
4 6 7
47 25 45
60 30 99
50 85 2
18 63 32
47 23 60
23 76 90
93 32 36
8 57 89
18 10 90
8 66 48
15 13 73
59 25 55
57 75 40
10 46 56
52 68 7
41 61 39
76 22 96
17 40 58
58 48 24
5 63 89
29 75 15
83 32 42
22 95 88
29 88 81
60 93 2
66 34 15
57 63 37
4 80 77
62 90 26
37 95 41
26 24 16
92 59 1
73 63 36
5 23 29
6 89 16
21 98 79
9 3 11
86 17 1
63 54 48
55 32 24
71 76 83
71 10 16
18 83 79
53 88 2
34 47 44
49 20 42
79 29 45
89 67 62
89 30 69
88 38 53
11 9 30
93 80 40
8 50 75
87 55 15
88 89 62
83 90 82
25 69 12
21 58 79
83 99 62
3 87 100
55 98 61
84 91 41
75 52 43
49 39 98
64 79 40
77 63 30
59 88 52
70 9 10
0 44 62
13 99 1
12 7 100
72 91 43
64 19 47
6 20 86
56 36 18
95 14 81
24 25 21
75 95 82
37 47 79
50 61 78
50 25 85
1 50 29
96 66 100
42 25 20
80 81 9
97 76 23
29 52 48
1 80 95
82 69 94
12 19 7
90 21 33
26 75 35
6 71 53
57 65 78
77 45 11
85 94 39
59 23 92
58 24 24
4 59 45
97 71 16
4 13 37
88 92 64
74 98 35
26 56 53
4 85 98
14 22 93
53 33 68
96 91 45
71 95 4
15 44 75
82 48 89
18 88 81
82 62 31
68 89 39
20 45 76
70 11 50
14 16 83
81 64 26
25 35 73
28 2 18
55 84 18
95 55 7
27 89 69
57 9 10
48 30 7
23 52 19
73 66 35
7 99 52
33 25 87
22 12 78
92 7 33
98 34 74
18 44 84
80 92 66
86 67 18
56 92 36
91 0 35
32 90 18
73 65 30
51 57 90
35 7 24
61 25 68
44 57 60
61 44 80
30 0 72
65 43 72
51 37 9
63 70 100
32 95 17
13 98 26
2 86 33
78 47 10
97 43 68
9 4 64
88 34 16
59 51 60
83 54 49
91 69 19
42 1 67
10 67 65
35 21 51
19 99 50
81 97 93
0 6 97
63 46 83
78 5 86
38 32 10
8 74 64
74 85 83
93 92 56
43 25 5
84 40 9
66 70 66
4 12 7
44 50 39
5 10 13
20 37 50
2 80 23
6 73 67
13 16 44
17 4 69
31 88 61
91 6 83
56 10 95
62 6 97
0 64 8
65 84 97
66 87 77
40 45 50
6 10 19
69 10 63
81 1 21
64 9 84
58 72 90
7 24 6
14 41 91
62 8 30
38 0 27
39 7 37
9 8 68
83 30 30
97 11 31
70 27 92
53 38 64
94 45 41
0 11 34
42 73 42
71 63 43
49 54 2
37 64 62
4 99 92
33 49 56
15 19 83
6 72 73
22 66 18
62 18 29
95 60 54
89 31 17
36 69 88
49 73 39
41 6 88
48 73 59
82 80 31
55 2 50
72 16 68
53 63 29
75 39 45
98 27 14
37 77 40
67 18 72
25 52 52
8 7 6
57 32 74
76 85 89
56 43 46
20 70 37
64 20 65
29 57 42
18 4 82
89 29 34
92 37 42
49 46 26
74 23 63
62 31 6
96 67 49
60 49 59
1 69 96
64 39 100
45 28 81
78 72 71
71 21 17
96 47 92
58 62 24
16 21 27
44 69 95
44 29 44
2 82 65
49 98 5
48 43 85
81 74 58
51 45 31
67 94 31
11 4 93
86 20 14
12 16 36
58 13 65
1 67 100
18 17 98
74 17 94
58 98 68
67 49 65
98 69 59
28 32 64
72 18 36
37 30 5
72 89 18
89 42 37
88 12 54
37 86 72
30 45 70
49 12 72
14 62 93
24 42 25
39 14 43
31 76 66
0 65 61
36 5 73
90 43 60
13 25 57
82 75 21
5 89 84
97 13 78
73 53 93
67 80 97
92 63 73
9 63 91
69 51 96
42 93 39
53 6 65
9 41 40
29 46 81
64 96 46
42 69 51
86 89 83
34 81 46
58 42 61
48 12 13
