
---------- Begin Simulation Statistics ----------
simSeconds                                   0.011732                       # Number of seconds simulated (Second)
simTicks                                  11731947000                       # Number of ticks simulated (Tick)
finalTick                                 11731947000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    146.30                       # Real time elapsed on the host (Second)
hostTickRate                                 80191120                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680268                       # Number of bytes of host memory used (Byte)
simInsts                                     20979866                       # Number of instructions simulated (Count)
simOps                                       35173619                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   143403                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     240421                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         23463895                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.118401                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.894134                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        41777736                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    12814                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       40374171                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  11494                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6616925                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           7578175                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 676                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            23290769                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.733484                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.243260                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  12424977     53.35%     53.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1576049      6.77%     60.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1382862      5.94%     66.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2431754     10.44%     76.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1689739      7.25%     83.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1898316      8.15%     91.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1041091      4.47%     96.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    527794      2.27%     98.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    318187      1.37%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              23290769                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   86410     16.77%     16.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     16.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     16.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     16.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     16.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     16.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     16.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     16.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     16.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      1      0.00%     16.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     16.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     22      0.00%     16.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     16.77% # attempts to use FU when none available (Count)
