
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000235                       # Number of seconds simulated (Second)
simTicks                                    235418000                       # Number of ticks simulated (Tick)
finalTick                                   235418000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.83                       # Real time elapsed on the host (Second)
hostTickRate                                128787630                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     679240                       # Number of bytes of host memory used (Byte)
simInsts                                       177326                       # Number of instructions simulated (Count)
simOps                                         322037                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    97002                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     176161                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           470837                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.655206                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.376619                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          521313                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      554                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         463543                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1242                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               199824                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            323901                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 212                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              327515                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.415334                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.226015                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    204044     62.30%     62.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     22353      6.83%     69.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     19296      5.89%     75.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     19224      5.87%     80.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     17924      5.47%     86.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     15841      4.84%     91.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     13929      4.25%     95.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      8781      2.68%     98.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      6123      1.87%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                327515                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    4175     57.61%     57.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     57.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     57.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     57.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     57.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     57.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     57.61% # attempts to use FU when none available (Count)
