
---------- Begin Simulation Statistics ----------
simSeconds                                   0.011187                       # Number of seconds simulated (Second)
simTicks                                  11187189000                       # Number of ticks simulated (Tick)
finalTick                                 11187189000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    131.42                       # Real time elapsed on the host (Second)
hostTickRate                                 85126130                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     674120                       # Number of bytes of host memory used (Byte)
simInsts                                     20585675                       # Number of instructions simulated (Count)
simOps                                       35307920                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   156641                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     268667                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         22374379                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.086891                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.920056                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        35925332                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       86                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       35871156                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    372                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               617451                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            382101                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  20                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            22273587                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.610480                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.246814                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  12759907     57.29%     57.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1598650      7.18%     64.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    763037      3.43%     67.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2281167     10.24%     78.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1688894      7.58%     85.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1118372      5.02%     90.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1137332      5.11%     95.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    678321      3.05%     98.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    247907      1.11%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              22273587                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   64064     32.12%     32.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     32.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     32.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     32.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     32.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     32.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     32.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     32.12% # attempts to use FU when none available (Count)
