
---------- Begin Simulation Statistics ----------
simSeconds                                   0.019831                       # Number of seconds simulated (Second)
simTicks                                  19831480000                       # Number of ticks simulated (Tick)
finalTick                                 19831480000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    199.87                       # Real time elapsed on the host (Second)
hostTickRate                                 99223927                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2309868                       # Number of bytes of host memory used (Byte)
simInsts                                     35841845                       # Number of instructions simulated (Count)
simOps                                       60478711                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   179329                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     302596                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        39662961                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.106610                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.903660                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       68672799                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   24262                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      67039171                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  8776                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             8218344                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          9041959                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                574                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           39507658                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.696865                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.232178                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 21427919     54.24%     54.24% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  2679701      6.78%     61.02% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  2291005      5.80%     66.82% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  4021238     10.18%     77.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  2741174      6.94%     83.94% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  3245629      8.22%     92.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  1707785      4.32%     96.47% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   871461      2.21%     98.68% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   521746      1.32%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             39507658                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 156521     20.84%     20.84% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     20.84% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     20.84% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     20.84% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     20.84% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     20.84% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     20.84% # attempts to use FU when none available (Count)
