
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008821                       # Number of seconds simulated (Second)
simTicks                                   8820704000                       # Number of ticks simulated (Tick)
finalTick                                  8820704000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    152.93                       # Real time elapsed on the host (Second)
hostTickRate                                 57679209                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2309868                       # Number of bytes of host memory used (Byte)
simInsts                                     27867312                       # Number of instructions simulated (Count)
simOps                                       49232679                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   182226                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     321936                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        17641409                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.633050                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.579653                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       52921710                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   71610                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      52220051                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  7108                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             3760635                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          4393771                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                899                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           17503375                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.983428                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.483560                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  4186432     23.92%     23.92% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  2000270     11.43%     35.35% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  2301375     13.15%     48.49% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  1755929     10.03%     58.53% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  1917337     10.95%     69.48% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  1906116     10.89%     80.37% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  1794443     10.25%     90.62% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   749126      4.28%     94.90% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   892347      5.10%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             17503375                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 488112     60.81%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                    19      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     9      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    7      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     60.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     60.81% # attempts to use FU when none available (Count)
