
---------- Begin Simulation Statistics ----------
simSeconds                                   0.016220                       # Number of seconds simulated (Second)
simTicks                                  16219887000                       # Number of ticks simulated (Tick)
finalTick                                 16219887000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    247.49                       # Real time elapsed on the host (Second)
hostTickRate                                 65538206                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2309864                       # Number of bytes of host memory used (Byte)
simInsts                                     50773745                       # Number of instructions simulated (Count)
simOps                                       89560883                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   205157                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     361880                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        32439775                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.638908                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.565169                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       96326661                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  126705                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      95037038                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 11218                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             6892477                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          8030135                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               1310                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           32298528                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.942457                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.490962                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  8034406     24.88%     24.88% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  3685995     11.41%     36.29% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  4202240     13.01%     49.30% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  3157439      9.78%     59.07% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  3495582     10.82%     69.90% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  3467487     10.74%     80.63% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  3253442     10.07%     90.71% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  1381665      4.28%     94.98% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  1620272      5.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             32298528                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 884653     61.28%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                    19      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     9      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    7      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     61.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     61.28% # attempts to use FU when none available (Count)
