
---------- Begin Simulation Statistics ----------
simSeconds                                   0.030153                       # Number of seconds simulated (Second)
simTicks                                  30152556000                       # Number of ticks simulated (Tick)
finalTick                                 30152556000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    244.08                       # Real time elapsed on the host (Second)
hostTickRate                                123535819                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1213140                       # Number of bytes of host memory used (Byte)
simInsts                                     50773745                       # Number of instructions simulated (Count)
simOps                                       89560883                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   208021                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     366933                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         30152557                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.593861                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.683895                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        96216597                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   126689                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       94959552                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  11399                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6782397                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           7817554                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1294                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            30101640                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.154631                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.444938                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5892297     19.57%     19.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3586479     11.91%     31.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4257376     14.14%     45.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3186985     10.59%     56.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3459963     11.49%     67.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3422965     11.37%     79.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   3340519     11.10%     90.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1340873      4.45%     94.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1614183      5.36%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              30101640                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  906607     61.88%     61.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     61.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     61.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     61.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     61.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     61.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     61.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     61.88% # attempts to use FU when none available (Count)
