
---------- Begin Simulation Statistics ----------
simSeconds                                   0.061813                       # Number of seconds simulated (Second)
simTicks                                  61812727000                       # Number of ticks simulated (Tick)
finalTick                                 61812727000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    624.01                       # Real time elapsed on the host (Second)
hostTickRate                                 99057239                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     688856                       # Number of bytes of host memory used (Byte)
simInsts                                    104903013                       # Number of instructions simulated (Count)
simOps                                      175649128                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   168111                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     281484                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        123625455                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.178474                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.848555                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       199915123                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    39511                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      194897116                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  33466                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             24305500                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          27204337                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1153                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           123448681                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.578770                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.178776                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  70469881     57.08%     57.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7989539      6.47%     63.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6350526      5.14%     68.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  12434106     10.07%     78.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7792221      6.31%     85.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   9857026      7.98%     93.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   4832576      3.91%     96.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2327711      1.89%     98.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1395095      1.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             123448681                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  303536     15.47%     15.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     15.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     15.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     15.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     15.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     15.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     15.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     15.47% # attempts to use FU when none available (Count)
