
---------- Begin Simulation Statistics ----------
simSeconds                                   0.011997                       # Number of seconds simulated (Second)
simTicks                                  11997456000                       # Number of ticks simulated (Tick)
finalTick                                 11997456000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    141.99                       # Real time elapsed on the host (Second)
hostTickRate                                 84495449                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     679248                       # Number of bytes of host memory used (Byte)
simInsts                                     20980552                       # Number of instructions simulated (Count)
simOps                                       35174919                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   147761                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     247729                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         23994913                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.143674                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.874375                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        42872885                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    12818                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       41130488                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  17270                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7710778                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           9299628                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 674                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            23850242                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.724531                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.245846                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  12843078     53.85%     53.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1563769      6.56%     60.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1386730      5.81%     66.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2448597     10.27%     76.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1709940      7.17%     83.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1947464      8.17%     91.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1107468      4.64%     96.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    519988      2.18%     98.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    323208      1.36%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              23850242                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   82129     15.46%     15.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     15.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     15.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     15.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     15.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     15.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     15.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     15.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     15.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     15.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     15.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     15.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     15.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     17      0.00%     15.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     15.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     19      0.00%     15.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     3      0.00%     15.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     15.47% # attempts to use FU when none available (Count)
