
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020472                       # Number of seconds simulated (Second)
simTicks                                  20471515000                       # Number of ticks simulated (Tick)
finalTick                                 20471515000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    212.30                       # Real time elapsed on the host (Second)
hostTickRate                                 96427977                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     687828                       # Number of bytes of host memory used (Byte)
simInsts                                     35841800                       # Number of instructions simulated (Count)
simOps                                       60478620                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   168827                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     284875                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         40943031                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.142326                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.875407                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        72001855                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    24317                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       69305021                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  23811                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11547546                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14142840                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 629                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            40791911                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.698989                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.245307                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  22279842     54.62%     54.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2668792      6.54%     61.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2286809      5.61%     66.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4125237     10.11%     76.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2805185      6.88%     83.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3325534      8.15%     91.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1841895      4.52%     96.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    881816      2.16%     98.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    576801      1.41%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              40791911                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  148433     18.73%     18.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     18.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     18.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     18.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     18.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     18.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     18.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     18.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     18.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     18.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     18.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     18.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     18.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     16      0.00%     18.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     18.73% # attempts to use FU when none available (Count)
