
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008940                       # Number of seconds simulated (Second)
simTicks                                   8940374000                       # Number of ticks simulated (Tick)
finalTick                                  8940374000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    140.67                       # Real time elapsed on the host (Second)
hostTickRate                                 63554348                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     687824                       # Number of bytes of host memory used (Byte)
simInsts                                     27867312                       # Number of instructions simulated (Count)
simOps                                       49232679                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   198100                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     349979                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         17880749                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.641639                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.558509                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        53250130                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    71621                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       52508093                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   7347                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4089066                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4721366                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 910                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            17739572                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.959941                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.484619                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4303905     24.26%     24.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2064354     11.64%     35.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2308213     13.01%     48.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1768966      9.97%     58.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1951086     11.00%     69.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1896593     10.69%     80.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1793941     10.11%     90.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    750652      4.23%     94.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    901862      5.08%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              17739572                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  491258     60.97%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      2      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     20      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     27      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     4      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    1      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     60.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     60.97% # attempts to use FU when none available (Count)
