
---------- Begin Simulation Statistics ----------
simSeconds                                   0.016499                       # Number of seconds simulated (Second)
simTicks                                  16498613000                       # Number of ticks simulated (Tick)
finalTick                                 16498613000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    236.54                       # Real time elapsed on the host (Second)
hostTickRate                                 69749986                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     687824                       # Number of bytes of host memory used (Byte)
simInsts                                     50773745                       # Number of instructions simulated (Count)
simOps                                       89560883                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   214652                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     378630                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         32997227                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.649888                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.538728                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        96873394                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   126705                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       95543652                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  12087                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7439210                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           8385239                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1310                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            32851916                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.908313                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.492461                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8377924     25.50%     25.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3800655     11.57%     37.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4190994     12.76%     49.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3214725      9.79%     59.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3529797     10.74%     70.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3462985     10.54%     80.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   3280114      9.98%     90.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1355739      4.13%     95.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1638983      4.99%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              32851916                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  900511     61.72%     61.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     61.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     61.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     61.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     61.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     61.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     61.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     61.72% # attempts to use FU when none available (Count)
