
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010888                       # Number of seconds simulated (Second)
simTicks                                  10888474000                       # Number of ticks simulated (Tick)
finalTick                                 10888474000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    196.74                       # Real time elapsed on the host (Second)
hostTickRate                                 55345822                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     687824                       # Number of bytes of host memory used (Byte)
simInsts                                     27867312                       # Number of instructions simulated (Count)
simOps                                       49232679                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   141649                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     250248                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         21776949                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.781451                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.279670                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        63240273                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    71832                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       59873847                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  43937                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             14079420                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          18304317                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1121                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            21633884                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.767596                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.584919                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6911723     31.95%     31.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2103312      9.72%     41.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2279705     10.54%     52.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1742591      8.05%     60.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2336646     10.80%     71.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2149602      9.94%     81.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2036945      9.42%     90.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    919792      4.25%     94.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1153568      5.33%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              21633884                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  482883     60.53%     60.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     60.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     60.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     60.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     60.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     60.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     60.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     60.53% # attempts to use FU when none available (Count)
