Fluxo maximo = 88
100 0
0 4 20
0 29 17
0 40 1
0 46 6
0 48 1
0 51 16
0 54 10
0 57 14
0 59 19
0 61 18
0 77 10
0 90 10
0 97 7
0 98 12
1 32 14
1 45 2
1 48 7
1 50 16
1 56 20
1 66 16
1 90 18
2 7 17
2 9 20
2 14 12
2 45 19
2 46 18
2 55 16
2 66 11
2 67 7
2 90 16
3 6 20
3 10 17
3 17 19
3 32 7
3 34 14
3 39 4
3 57 10
3 69 6
3 97 19
4 12 5
4 24 10
4 40 14
4 41 19
4 63 4
4 85 6
4 89 2
4 90 19
5 10 4
5 12 12
5 18 17
5 31 13
5 32 5
5 40 5
5 82 20
5 91 13
5 92 5
5 98 14
5 99 1
6 9 15
6 24 14
6 25 13
6 29 2
6 30 10
6 33 9
6 34 12
6 52 4
6 53 5
6 64 3
6 68 9
6 70 14
6 78 10
6 83 20
6 86 10
6 95 12
7 4 18
7 34 14
7 57 19
7 68 8
7 82 12
7 88 2
7 89 12
7 91 19
7 94 19
8 1 7
8 21 9
8 25 9
8 29 2
8 30 16
8 36 12
8 69 4
8 78 10
8 85 17
8 91 3
9 14 3
9 17 7
9 24 12
9 33 8
9 34 11
9 47 19
9 54 16
9 69 4
9 76 18
9 96 12
10 6 8
10 7 1
10 9 2
10 32 12
10 48 16
10 56 20
10 57 13
10 59 14
10 67 10
10 80 17
10 82 5
10 93 15
11 7 13
11 31 7
11 46 5
11 56 14
11 58 12
11 60 8
11 61 2
11 70 19
11 72 16
11 87 10
11 89 13
11 95 4
11 97 4
11 98 18
12 16 19
12 27 9
12 31 16
12 37 11
12 41 2
12 51 18
12 66 1
12 85 3
13 2 12
13 4 11
13 5 3
13 29 9
13 30 10
13 32 13
13 35 7
13 46 14
13 48 15
13 66 7
13 77 4
13 91 3
13 94 5
14 7 12
14 11 10
14 13 6
14 31 9
14 43 19
14 51 19
14 62 10
14 76 9
14 81 1
14 87 16
14 89 8
14 95 6
15 12 17
15 26 1
15 32 10
15 72 16
15 76 15
15 89 10
15 92 16
16 13 6
16 36 3
16 68 1
16 90 19
16 93 2
16 95 13
17 15 10
17 42 12
17 49 17
17 56 6
17 58 2
17 66 11
17 69 4
17 78 6
17 81 17
17 82 15
17 95 9
18 61 14
18 72 19
18 99 13
19 6 16
19 9 2
19 11 19
19 54 6
19 64 2
19 66 13
19 70 13
19 86 1
19 90 3
20 16 15
20 17 3
20 27 14
20 28 5
20 35 10
20 41 6
20 52 2
20 56 10
20 58 16
20 59 18
20 69 13
20 82 4
20 97 7
21 2 19
21 12 11
21 17 6
21 24 16
21 34 5
21 36 8
21 40 5
21 42 3
21 64 13
21 65 13
21 70 11
21 93 18
21 94 18
22 2 12
22 5 14
22 6 18
22 26 2
22 31 10
22 52 12
22 61 17
22 64 18
22 66 13
22 74 3
22 77 6
23 7 14
23 12 15
23 43 2
23 64 17
23 73 18
23 77 5
23 86 19
23 98 13
24 10 8
24 34 17
24 40 10
24 59 6
24 84 12
24 85 20
24 87 11
24 92 2
24 94 9
25 2 19
25 5 20
25 19 13
25 26 10
25 30 17
25 41 4
25 63 18
25 64 15
25 97 18
26 3 4
26 9 4
26 27 4
26 29 18
26 41 12
26 70 2
26 91 14
26 93 4
27 21 18
27 33 9
27 49 5
27 68 1
27 73 15
27 94 1
28 7 14
28 15 10
28 30 7
28 34 11
28 48 11
28 58 6
28 65 10
28 86 1
29 11 1
29 20 19
29 37 20
29 51 20
29 64 3
29 66 15
29 68 7
29 81 7
29 84 11
29 89 1
29 97 10
30 2 18
30 5 19
30 18 19
30 22 16
30 23 19
30 27 7
30 34 17
30 49 7
30 63 16
30 64 16
30 77 7
30 94 14
31 3 6
31 6 2
31 9 14
31 30 16
31 49 13
31 52 8
31 71 15
31 72 12
31 76 7
31 87 10
31 97 11
32 6 2
32 16 20
32 43 4
32 44 9
32 65 5
33 8 19
33 10 6
33 12 6
33 31 8
33 66 3
33 81 11
33 82 9
33 90 7
34 5 5
34 11 9
34 17 19
34 19 9
34 48 15
34 52 2
34 53 4
34 60 10
34 63 9
34 64 2
35 1 4
35 3 19
35 18 7
35 24 5
35 36 2
35 46 10
35 50 15
35 52 9
35 53 3
35 57 2
35 58 6
35 70 8
35 71 2
36 4 16
36 7 16
36 17 8
36 18 2
36 32 13
36 47 9
36 53 12
36 54 16
36 60 1
36 76 8
36 78 15
36 79 12
36 85 8
36 88 9
36 92 7
37 4 4
37 5 20
37 6 10
37 11 12
37 19 10
37 32 4
37 40 7
37 49 3
37 58 13
37 59 14
37 63 17
37 64 19
37 89 1
38 14 12
38 17 15
38 22 7
38 54 16
38 58 11
38 61 8
38 86 14
38 96 13
39 6 19
39 7 18
39 16 4
39 21 18
39 23 15
39 25 19
39 27 18
39 38 10
39 45 9
39 55 14
39 61 6
39 64 2
39 70 9
39 86 18
39 87 15
39 99 2
40 14 13
40 23 20
40 29 11
40 47 15
40 56 8
40 59 12
40 62 2
40 65 14
40 82 19
40 84 6
41 6 10
41 7 5
41 9 9
41 23 18
41 33 5
41 34 10
41 45 12
41 67 18
41 75 13
41 90 10
41 93 1
41 94 14
42 14 16
42 16 1
42 28 5
42 39 18
42 47 1
42 58 15
42 75 6
42 83 19
43 5 2
43 16 8
43 26 6
43 44 1
43 55 11
43 68 1
43 69 14
44 3 5
44 21 3
44 26 20
44 27 10
44 29 13
44 62 10
44 68 12
44 69 11
44 77 15
44 78 15
45 9 7
45 15 10
45 28 20
45 31 2
45 44 14
45 55 6
45 60 16
45 63 16
45 66 11
45 78 18
45 92 18
45 99 13
46 3 4
46 8 19
46 16 16
46 24 4
46 26 17
46 39 14
46 40 7
46 82 8
46 86 16
47 1 3
47 45 11
47 48 15
47 56 2
47 75 1
47 93 10
47 97 5
48 8 2
48 40 8
48 57 5
48 80 18
48 92 16
49 19 12
49 29 13
49 40 10
49 41 13
49 46 8
49 56 18
49 59 12
49 93 3
49 99 6
50 24 11
50 36 1
50 41 14
50 65 10
50 70 1
50 76 7
50 93 4
50 99 17
51 1 19
51 8 11
51 10 14
51 17 7
51 53 1
51 67 1
51 72 2
51 90 8
51 93 12
52 4 17
52 5 15
52 30 19
52 60 1
52 62 3
52 67 8
52 69 15
52 75 15
52 84 3
52 93 8
53 11 8
53 15 2
53 16 17
53 25 11
53 37 10
53 39 2
53 41 12
53 42 1
53 44 20
53 54 11
53 61 18
53 95 19
53 98 1
54 11 17
54 15 14
54 20 4
54 23 18
54 33 9
54 34 16
54 40 9
54 46 9
54 51 15
54 89 16
54 90 18
54 93 17
54 95 1
54 98 3
55 10 11
55 11 18
55 17 6
55 26 10
55 30 6
55 49 9
55 50 16
55 71 8
55 77 11
55 99 2
56 4 5
56 13 7
56 33 14
56 36 8
56 37 20
56 57 15
56 63 16
56 64 16
56 77 15
56 86 5
56 89 3
57 14 8
57 16 8
57 58 19
57 66 8
57 71 18
57 78 12
57 81 10
57 92 2
58 7 11
58 14 9
58 44 18
58 79 2
58 80 9
58 83 12
58 84 12
58 86 10
59 6 7
59 13 5
59 21 18
59 23 17
59 29 18
59 36 12
59 44 14
59 45 2
59 56 5
59 71 1
59 72 20
59 74 8
60 8 8
60 21 8
60 30 17
60 31 17
60 33 11
60 39 4
60 49 12
60 53 2
60 95 12
61 5 14
61 8 13
61 15 9
61 25 20
61 28 4
61 36 11
61 40 5
61 41 9
61 63 6
61 66 1
61 79 18
61 90 8
61 95 7
62 5 15
62 49 12
62 53 3
62 54 11
62 58 14
62 63 5
62 64 5
62 68 9
62 74 17
62 82 14
62 95 11
63 18 13
63 32 12
63 41 16
63 52 20
63 73 5
63 76 6
63 79 9
63 85 1
63 97 9
63 98 18
63 99 16
64 10 1
64 15 13
64 26 2
64 28 7
64 35 4
64 47 17
64 53 16
64 66 11
64 78 3
64 86 10
65 4 16
65 16 4
65 18 8
65 19 16
65 29 20
65 36 1
65 49 19
65 55 3
65 73 8
65 82 11
65 89 5
65 92 15
66 5 13
66 8 5
66 27 6
66 41 15
66 47 14
66 56 2
66 60 19
66 62 15
66 70 19
66 76 4
66 84 5
66 85 2
66 90 16
67 7 6
67 11 6
67 27 13
67 55 7
67 70 8
67 98 5
68 14 20
68 34 9
68 42 1
68 48 13
68 52 17
68 53 9
68 57 20
68 80 6
68 83 5
68 88 13
69 29 5
69 38 16
69 58 17
69 67 12
69 68 8
69 87 3
69 93 11
70 1 2
70 32 15
70 34 3
70 49 14
70 60 10
70 68 18
71 24 1
71 26 18
71 27 18
71 40 19
71 58 18
71 64 3
71 65 15
71 70 9
72 6 10
72 19 8
72 36 6
72 46 13
72 55 17
72 58 19
72 62 14
72 64 13
72 74 19
72 78 16
72 80 5
72 92 20
73 16 1
73 20 15
73 28 4
73 55 1
73 64 20
73 67 12
73 78 9
74 10 17
74 13 1
74 15 10
74 20 12
74 33 2
74 41 15
74 68 15
74 78 11
74 79 9
74 80 14
74 88 3
75 14 10
75 25 9
75 35 12
75 38 12
75 44 12
75 45 5
75 49 5
75 65 5
75 89 14
75 94 8
76 6 18
76 34 14
76 51 3
76 54 3
76 60 1
76 65 9
76 78 14
76 88 11
76 97 17
77 1 7
77 4 1
77 38 16
77 39 9
77 41 11
77 69 5
77 83 6
77 87 6
77 98 5
78 1 13
78 37 14
78 47 1
78 50 15
78 65 1
78 75 1
78 77 8
78 98 6
79 13 10
79 20 7
79 23 19
79 32 8
79 34 7
79 38 14
79 50 7
79 51 17
79 57 9
79 60 1
79 68 19
79 84 3
80 2 12
80 11 4
80 24 18
80 41 20
80 43 2
80 56 12
80 62 2
80 67 8
80 71 11
80 77 15
80 79 16
80 86 1
81 13 9
81 34 1
81 36 4
81 38 15
81 49 5
81 71 3
81 78 16
81 90 10
81 91 1
81 94 2
81 96 15
82 1 7
82 11 9
82 13 4
82 18 9
82 34 13
82 38 15
82 55 1
82 95 1
83 2 15
83 14 2
83 30 14
83 43 2
83 54 12
83 70 14
83 72 17
83 73 20
83 90 8
84 5 15
84 6 20
84 8 4
84 9 15
84 14 12
84 28 13
84 39 11
84 62 15
84 83 7
85 16 8
85 26 16
85 29 13
85 38 7
85 41 17
85 47 19
85 50 2
85 61 14
85 68 7
85 98 18
86 41 1
86 65 20
86 67 13
86 68 8
86 70 6
86 74 7
86 84 7
86 89 12
86 94 16
87 10 18
87 13 2
87 22 14
87 23 15
87 54 2
87 89 2
88 6 6
88 15 3
88 17 12
88 23 16
88 40 16
88 50 5
88 58 2
88 71 11
88 81 8
88 84 3
88 85 4
88 93 6
88 96 15
89 3 13
89 5 9
89 6 1
89 21 5
89 60 1
89 78 18
89 80 14
89 82 2
90 3 20
90 14 12
90 28 8
90 36 8
90 39 17
90 48 6
90 67 12
90 71 1
90 87 7
91 2 9
91 33 8
91 35 16
91 38 5
91 40 13
91 42 19
91 44 1
91 51 16
91 58 10
91 66 1
91 89 6
91 92 17
91 94 15
91 95 16
92 10 8
92 14 6
92 16 15
92 22 18
92 32 20
92 46 19
92 52 17
92 58 9
92 71 16
92 95 9
93 9 18
93 17 8
93 43 15
93 44 7
93 48 6
93 62 20
93 65 14
93 77 20
93 80 15
93 89 4
93 94 19
94 4 18
94 12 2
94 44 7
94 70 18
94 83 19
94 88 9
94 92 18
95 2 9
95 9 17
95 22 15
95 25 10
95 28 1
95 35 5
95 49 4
95 58 16
95 65 1
95 99 18
96 4 5
96 6 14
96 8 8
96 17 14
96 19 4
96 20 1
96 23 10
96 31 5
96 35 11
96 36 19
96 39 16
96 45 13
96 63 3
96 90 8
96 95 4
97 44 13
97 48 15
97 57 20
97 69 1
97 71 1
97 72 19
97 77 4
97 91 1
98 27 8
